play_id,game_id,game_date,ep,wp,down,qtr,ydstogo,yardline_100,fourth_down_converted,fourth_down_failed,yards_gained,play_type,shotgun,no_huddle,qb_dropback,score_differential,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,goal_to_go,posteam_type,season_type,week,posteam_timeouts_remaining,defteam_timeouts_remaining,vegas_wp,vegas_home_wp,no_score_prob,fg_prob,td_prob,opp_fg_prob,opp_td_prob,season,success,shotgun_binary,no_huddle_binary,qb_dropback_binary,is_pass_play,is_rush_play,is_home,is_regular_season
2984,2014_02_HOU_OAK,2014-09-14,2.2473049418767914,0.000556291954126209,4.0,4,1,34.0,1.0,0.0,2.0,run,0,0,0.0,-27.0,900.0,900.0,900.0,0,home,REG,2,2.0,3.0,0.00026101034018211067,0.00026101034018211067,0.0266973003745079,0.4497841894626617,0.2970810830593109,0.0914307385683059,0.1304328739643097,2014,1,0,0,0,0,1,1,1
3977,2014_02_HOU_OAK,2014-09-14,2.499334984109737,0.0002685235522221774,4.0,4,10,20.0,1.0,0.0,11.0,pass,1,0,1.0,-23.0,26.0,26.0,26.0,0,home,REG,2,1.0,3.0,9.641009091865271e-05,9.641009091865271e-05,0.2124900668859481,0.6981184482574463,0.070309080183506,0.0102137476205825,0.0081273363903164,2014,1,1,0,1,1,0,1,1
2357,2014_02_JAX_WAS,2014-09-14,0.6781036386964843,0.8897395133972168,4.0,2,20,38.0,0.0,1.0,0.0,pass,1,0,1.0,14.0,3.0,3.0,1803.0,0,home,REG,2,0.0,2.0,0.9390936493873596,0.9390936493873596,0.7628474831581116,0.2034291625022888,0.0203558132052421,0.0018487450433894,0.0099919671192765,2014,0,1,0,1,1,0,1,1
4224,2014_02_JAX_WAS,2014-09-14,2.5468283258378506,0.9997374415397644,4.0,4,7,14.0,1.0,0.0,14.0,run,1,0,0.0,24.0,120.0,120.0,120.0,0,home,REG,2,1.0,3.0,0.9999680519104004,0.9999680519104004,0.1700247526168823,0.7221417427062988,0.0756083130836486,0.0132980430498719,0.0161884054541587,2014,1,1,0,0,0,1,1,1
4390,2014_02_JAX_WAS,2014-09-14,-0.2853063841466792,8.441301906714216e-05,4.0,4,16,79.0,0.0,1.0,3.0,pass,1,0,1.0,-31.0,28.0,28.0,28.0,0,away,REG,2,2.0,1.0,3.481596877463744e-06,0.9999965184031224,0.8433298468589783,0.0268333442509174,0.0089940419420599,0.0975280851125717,0.0182384084910154,2014,0,1,0,1,1,0,0,1
2949,2014_02_KC_DEN,2014-09-14,0.8430386143736541,0.8879318237304688,4.0,3,1,52.0,1.0,0.0,2.0,run,0,1,0.0,11.0,126.0,1026.0,1026.0,0,home,REG,2,3.0,2.0,0.9776851534843444,0.9776851534843444,0.0343644209206104,0.1919951438903808,0.3477959632873535,0.1849578022956848,0.2317646443843841,2014,1,0,1,0,0,1,1,1
4131,2014_02_KC_DEN,2014-09-14,2.5895854454138316,0.1141349673271179,4.0,4,2,2.0,0.0,1.0,0.0,pass,1,0,1.0,-7.0,18.0,18.0,18.0,1,away,REG,2,0.0,3.0,0.0614833272993564,0.9385166727006437,0.2295740246772766,0.650202751159668,0.1040902361273765,0.003662598086521,0.0113825891166925,2014,0,1,0,1,1,0,0,1
2633,2014_02_MIA_BUF,2014-09-14,0.1504534902051091,0.0798505842685699,4.0,3,3,41.0,1.0,0.0,8.0,pass,1,0,1.0,-13.0,472.0,1372.0,1372.0,0,away,REG,2,2.0,3.0,0.0887054577469825,0.9112945422530174,0.0105863036587834,0.2418949902057647,0.2772946059703827,0.1588058620691299,0.2948837578296661,2014,1,1,0,1,1,0,0,1
3736,2014_02_MIA_BUF,2014-09-14,0.4609878126066178,0.0177898686379194,4.0,4,1,48.0,0.0,1.0,-4.0,run,1,0,0.0,-16.0,449.0,449.0,449.0,0,away,REG,2,2.0,3.0,0.0157726611942052,0.9842273388057948,0.2155669629573822,0.182448074221611,0.250423789024353,0.139543130993843,0.2041809856891632,2014,0,1,0,0,0,1,0,1
4032,2014_02_MIA_BUF,2014-09-14,-0.8598067676648498,0.0016014262801036,4.0,4,4,73.0,0.0,1.0,0.0,pass,1,0,1.0,-16.0,217.0,217.0,217.0,0,away,REG,2,1.0,3.0,0.0011824668617919,0.998817533138208,0.4507420063018799,0.0862748026847839,0.1130952760577201,0.1276358217000961,0.2183667719364166,2014,0,1,0,1,1,0,0,1
